ID,MS,NMSP,VE
10001,0.725174954,102.0399632,11.01510129
10002,0.724064748,105.8518465,10.56834532
10003,0.743547352,39.49359551,7.722792937
10004,0.741452785,99.75096852,13.32675545
10007,0.74716,131.24796,14.98866667
10008,0.732184783,95.53143478,11.46184783
10009,0.639651996,58.10925281,7.808188332
10010,0.758387097,66.70005865,8.385239492
10011,0.72208284,75.50730178,7.485798817
10012,0.677812081,55.52571812,7.035838926
10013,0.735460751,67.52489761,8.590614334
10014,0.637264297,43.46147604,6.733230294
10015,0.748414948,88.57747423,12.43917526
10016,0.735457686,91.25303972,8.565198618
10018,0.737889318,81.86433719,9.900772201
10019,0.659780919,60.95711661,5.921201413
10020,0.729722557,88.39997587,8.850542823
10022,0.739015873,100.9631217,11.02687831
10027,0.740848057,89.71033569,12.22614841
10028,0.709914927,54.68926527,8.303016241
10039,0.745595506,100.9860449,11.34876404
10041,0.727752235,74.26858238,10.38186462
10042,0.747814313,92.70152805,11.20367505
10043,0.751394472,88.78606784,13.73919598
10044,0.740311355,84.19001832,12.2959707
10054,0.624927885,53.73635817,9.627644231
10062,0.703148615,68.56874055,8.756171285
10065,0.739315866,93.0586754,12.10989811
10066,0.685340909,54.86214646,7.191287879
10067,0.711924494,72.93187845,10.77090239
10077,0.733225517,83.94839173,9.768104223
10078,0.742650104,138.3083851,11.73064182
10080,0.75208805,76.68601258,8.902893082
10092,0.747720365,68.55215805,9.180243161
10096,0.653497899,56.6507458,8.724579832
10098,0.74507014,124.1541884,12.99138277
10100,0.735281804,61.3905314,8.203059581
10101,0.698515929,79.02567988,10.25508936
10102,0.606086957,45.84426367,7.720336606
10103,0.704948665,53.64965092,5.571868583
10104,0.734012739,81.39363057,9.274203822
10105,0.627711214,61.38142857,7.720583717
10108,0.61313253,60.89542169,6.309638554
10109,0.666818632,44.06751239,6.308721506
10111,0.678432056,65.81292683,10.45783972
10113,0.691806452,66.38870968,7.190107527
10114,0.734347826,86.52918478,9.29673913
10115,0.687132616,64.17921147,10.79390681
10116,0.736446701,63.66233503,7.331472081
10117,0.680935484,60.79977419,6.279354839
10118,0.701138889,60.82211111,7.5
10119,0.694870968,62.06309677,7.449032258
10121,0.730737913,83.82641221,8.03562341
10122,0.709828767,59.87571918,5.935273973
10123,0.596460526,43.13356579,6.239473684
10124,0.736666667,70.66088123,7.063218391
10125,0.707803838,48.15486141,5.650959488
10126,0.69591954,62.795,7.617816092
10127,0.733810811,66.71544595,5.809864865
10128,0.734688645,80.0639011,9.570695971
10129,0.720581395,56.19488372,7.273255814
10130,0.749386139,89.52637624,10.3619802
10131,0.750255319,94.44961702,12.53446809
10132,0.662641509,22.39278302,3.831839623
10134,0.506622517,17.93788079,6.21986755
10135,0.734065934,49.1210989,4.203846154
10136,0.746445498,89.00890995,7.879146919
10137,0.731075581,55.50805233,9.115988372
